 1 : 2,2,2,1,2,2,2,2,2, 2,2,2,3,2,2,3,2,2, 1
 2 : 2,2,2,2,2,2,2,2,2, 2,2,2,2,2,2,2,1,2, 1
 3 : 2,1,2,2,1,2,1,2,1, 2,2,1,2,3,2,2,1,2, 1
 4 : 2,2,1,2,1,3,2,1,2, 3,2,1,2,3,2,2,2,2, 1
 5 : 2,2,1,2,1,2,2,2,2, 2,1,2,2,3,2,2,2,2, 1
 6 : 2,1,2,1,1,2,1,2,2, 1,2,2,2,2,2,3,2,2, 1
 7 : 2,1,2,2,2,2,1,2,2, 1,1,2,2,3,2,3,2,1, 1
 8 : 2,2,2,2,1,2,1,2,2, 3,2,2,2,2,2,5,1,2, 1
 9 : 2,2,2,2,1,1,1,2,2, 2,2,1,2,2,2,3,1,2, 1
10 : 1,2,1,2,1,2,2,2,2, 2,2,1,2,2,2,3,1,1, 1
11 : 1,2,2,2,1,2,2,2,2, 3,2,2,2,2,2,2,2,2, 17
12 : 2,2,2,2,2,2,2,2,2, 1,2,1,2,3,2,2,1,1, 17
13 : 1,1,2,2,2,3,2,1,2, 3,2,2,2,2,2,2,2,1, 17
14 : 2,1,2,1,2,2,1,2,2, 1,2,2,2,3,1,3,2,1, 17
15 : 2,1,2,1,1,2,1,2,2, 1,2,1,2,2,2,3,2,1, 17
16 : 2,2,2,1,2,2,2,2,2, 2,2,2,2,2,2,3,2,2, 17
17 : 1,2,1,2,2,2,2,2,2, 1,2,1,2,3,1,3,1,2, 17
18 : 2,1,2,1,1,2,2,2,2, 2,2,2,2,3,2,2,2,2, 17
19 : 2,2,1,1,1,2,1,2,2, 2,2,1,2,3,2,2,2,2, 17
20 : 1,2,2,2,1,2,2,1,2, 2,2,2,2,2,2,3,2,2, 17
21 : 2,2,2,2,1,2,2,2,2, 2,2,1,2,1,2,1,2,2, 17
22 : 2,1,2,2,1,2,1,2,2, 2,1,1,2,2,2,2,2,2, 17
23 : 2,2,2,1,2,2,1,2,2, 1,2,2,2,2,2,2,2,1, 17
24 : 1,1,2,2,1,2,2,2,2, 1,2,2,1,1,1,2,2,1, 17
-1 : 2,2,1,2,2,1,2,2,2, 1,1,2,2,3,2,2,2,2, 1
r1 : 1,2,2,2,1,2,2,2,2, 2,2,1,2,2,2,2,2,2, 1
