 1 : 3,2,2,2,2,2,2,2,3, 2,1,2,2,2,2,2,2,2, 1
 2 : 2,2,2,2,2,2,2,2,2, 2,2,2,3,2,2,2,2,2, 1
 3 : 2,1,3,1,1,2,2,2,2, 2,2,2,2,2,1,1,2,2, 1
 4 : 2,1,2,1,2,1,1,2,2, 2,2,2,2,2,2,2,2,2, 1
 5 : 2,1,2,2,2,2,2,1,2, 2,1,2,2,2,2,2,2,2, 1
 6 : 2,1,2,2,2,2,1,1,2, 2,1,2,2,3,2,1,2,2, 1
 7 : 2,2,2,1,2,2,2,1,2, 1,2,2,2,2,2,2,2,2, 1
 8 : 2,1,2,2,1,2,2,2,2, 2,2,1,2,2,2,1,2,2, 1
 9 : 2,1,1,2,2,2,2,1,2, 2,2,2,3,2,2,2,2,2, 1
10 : 2,1,2,1,2,2,2,1,1, 2,2,2,2,2,3,2,1,2, 1
11 : 2,2,2,1,2,2,2,2,2, 2,2,2,2,3,2,2,2,2, 1
12 : 2,2,2,1,2,2,2,1,2, 1,1,2,2,2,2,2,2,2, 1
13 : 2,2,2,1,2,2,2,1,2, 2,2,2,3,2,2,1,2,2, 1
14 : 2,1,2,1,2,2,2,2,2, 2,2,2,2,1,2,2,2,1, 1
15 : 2,2,2,2,2,2,2,2,2, 2,2,2,2,2,2,2,2,2, 1
16 : 3,1,2,2,2,2,2,2,2, 2,2,2,3,2,2,2,2,2, 1
17 : 2,2,2,1,2,2,2,2,2, 2,2,2,2,2,2,2,2,1, 1
18 : 2,2,2,2,2,1,2,1,2, 2,2,2,2,2,2,2,2,2, 7
19 : 2,1,2,2,1,2,2,1,1, 2,2,2,2,2,2,1,2,2, 10
20 : 2,2,2,1,2,2,2,1,2, 1,2,2,2,2,2,2,2,2, 8
21 : 2,1,2,1,2,2,2,2,1, 1,1,2,2,2,2,2,2,2, 16
22 : 2,2,2,2,2,2,2,1,2, 1,1,2,2,2,2,2,2,2, 7
23 : 1,1,2,1,2,2,2,2,2
