 1 : 2,3,2,2,2,3,2,2,2, 2,1,2,1,2,2,1,2,2
 2 : 1,3,2,2,2,2,2,2,2, 2,1,2,2,2,2,2,2,2
 3 : 2,2,2,2,2,2,2,2,2, 2,2,1,1,2,1,2,2,2
 4 : 2,2,2,2,2,1,2,2,2, 1,2,2,2,2,1,2,2,2
 5 : 2,2,2,1,1,1,2,2,2, 2,2,2,2,2,2,2,2,2
 6 : 2,2,2,1,1,2,1,2,2, 1,1,2,2,2,2,2,2,2
 7 : 2,1,2,1,2,2,1,2,2, 2,2,2,2,2,2,2,2,2
 8 : 2,2,1,2,2,2,2,2,2, 2,2,3,2,2,2,2,2,2
 9 : 2,2,2,2,2,1,2,2,2, 3,2,2,2,2,2,2,2,2
10 : 2,1,2,1,2,2,1,2,2, 2,1,2,2,2,2,2,2,1
11 : 2,2,2,2,2,1,2,2,2, 2,2,3,2,2,2,2,2,2
12 : 1,2,2,2,2,2,2,2,2, 2,1,2,2,2,1,2,2,2
13 : 1,2,2,1,2,2,2,2,2, 1,2,2,2,2,2,2,2,2
14 : 2,1,2,1,2,2,2,1,2, 2,2,2,2,2,2,2,2,2
15 : 2,2,2,2,2,1,2,2,2, 2,2,1,2,2,2,2,2,2
16 : 2,2,1,2,2,1,1,2,2, 2,2,1,2,2,2,2,2,2
17 : 2,1,2,2,2,2,2,2,2, 2,2,1,1,2,2,2,2,2
18 : 2,2,2,2,2,2,2,2,2, 1,2,1,1,2,2,2,2,1
19 : 2,2,2,2,2,2,2,2,2, 2,2,2,2,2,2,2,2,2
20 : 2,1,2,2,2,2,2,2,2, 1,2,1,1,2,2,2,2,2
21 : 1,2,2,2,2,1,2,2,2, 2,2,2,2,2,2,2,2,2
22 : 1,2,2,2,2,2,2,2,2, 1,2,1,1,2,2,2,2,1
23 : 2,2,2,1,1,2,2,2,2, 2,2,2,1,2,2,2,2,1
24 : 2,2,2,2,1,1,2,2,2, 1,2,2,1,2,1,2,2,2
25 : 2,1,2,2,2,2,2,2,2, 2,1,1,1,2,2,2,1,2
26 : 2,1,2,2,2,1,2,2,2, 2,2,1,2,2,2,2,2,2
27 : 2,2,2,2,2,2,2,2,2, 1,2,2,1,2,2,2,1,2
28 : 2,2,2,2,2,1,2,2,1, 2,2,1,2,1,2,2,2,2
29 : 2,1,2,2,2,2,1,2,3, 2,2,3,1,2,1,2,1,2
30 : 2,2,1,2,2,2,2,2,2, 1,2,2,1,2,2,2,2,2
31 : 2,2,2,2,2,1,1,2,2, 2,2,1,1,2,2,2,2,2
32 : 2,1,2,2,2,2,1,2,2, 2,1,2,2,2,1,2,2,2
33 : 2,2,2,1,2,2,2,2,2, 2,2,2,1,2,2,2,2,2
34 : 2,2,2,2,2,2,2,2,2, 2,2,2,2,1,2,2,2,2
35 : 2,2,2,2,2,2,2,2,2, 2,2,1,2,2,2,2,2,2
36 : 1,2,2,2,2,2,2,1,2, 2,2,2,1,2,1,2,2,1
37 : 2,1,2,3,2,2,1,2,2, 1,2,2,1,2,2,2,2,2
38 : 1,2,2,2,2,3,2,2,3, 1,2,1,1,2,2,2,2,2
39 : 2,2,2,2,2,2,2,2,2, 2,2,1,1,2,2,2,2,2
40 : 2,1,2,2,2,1,2,2,2, 2,2,1,1,2,2,2,2,2
-1 : 1,2,2,2,1,2,2,1,2, 1,1,2,2,2,2,2,2,2
