 1 : 2,1,2,1,2,2,2,1,2, 3,2,1,2,3,2,1,2,1
 2 : 2,2,2,1,3,2,2,2,2, 2,2,2,2,2,2,2,2,3
 3 : 1,2,2,2,3,2,2,2,2, 2,2,2,2,2,2,2,2,2
 4 : 2,2,2,2,3,3,2,2,2, 1,3,2,2,2,2,2,2,2
 5 : 1,2,1,1,4,1,2,1,2, 1,2,2,2,2,2,1,3,1
 6 : 2,1,1,3,2,3,1,1,2, 1,2,2,2,2,2,1,1,2
 7 : 2,2,1,2,2,2,2,1,2, 2,2,2,2,1,2,2,2,2
 8 : 2,2,2,1,3,2,2,2,2, 2,2,2,2,2,2,1,2,2
 9 : 2,2,2,2,2,2,2,2,2, 2,2,1,2,2,2,2,2,2
10 : 2,2,2,2,2,2,2,3,2, 2,2,2,2,2,2,1,2,1
11 : 2,2,1,2,2,1,2,2,2, 2,2,2,2,2,2,2,2,2
12 : 2,2,2,1,1,2,2,2,2, 1,2,2,2,2,2,1,2,2
13 : 2,2,2,2,2,2,2,2,2, 1,2,2,2,2,3,2,2,1
14 : 2,1,1,1,2,2,1,2,2, 1,2,1,2,2,2,2,2,2
15 : 2,2,2,2,2,2,1,2,2, 1,1,1,2,2,1,1,2,2
16 : 2,2,2,2,2,2,2,2,2, 1,2,1,2,1,2,2,2,2
17 : 2,2,2,2,3,2,1,2,2, 1,2,1,2,1,1,2,2,2
18 : 2,2,2,1,3,2,1,2,2, 1,2,1,2,2,1,1,2,2
19 : 2,2,2,1,2,2,1,2,2, 1,1,2,2,2,3,1,2,1
20 : 2,2,2,2,3,2,2,2,2, 1,2,1,1,1,2,1,2,1
21 : 1,1,2,2,2,2,2,2,2, 2,2,2,2,2,2,2,2,2
22 : 2,2,2,2,2,2,2,2,2, 1,1,2,2,1,2,2,2,2
23 : 2,2,2,1,2,2,2,2,2, 2,2,2,1,2,2,2,2,2
24 : 1,1,2,1,2,2,1,2,2, 2,2,2,2,2,2,1,2,2
25 : 2,2,1,3,3,2,2,2,2, 2,2,2,2,2,2,1,2,1
26 : 2,2,2,2,2,2,2,2,2, 2,2,2,2,2,2,2,2,2
27 : 2,2,2,2,2,2,2,2,2, 1,2,2,2,2,2,2,2,1
28 : 2,2,2,2,3,3,2,2,2, 2,1,2,2,2,2,2,2,2
29 : 2,2,2,2,2,2,1,2,2, 1,2,2,2,1,1,2,2,1
30 : 3,2,2,2,2,2,1,2,2, 2,2,2,2,2,2,2,3,1
31 : 2,1,1,2,2,3,2,2,2, 1,2,2,2,2,2,1,2,2
32 : 2,1,2,2,2,2,2,2,2, 1,2,1,2,2,2,2,2,1
33 : 2,2,2,1,2,2,2,2,2, 2,2,2,2,2,2,2,2,2
34 : 2,2,1,2,3,2,2,2,2, 1,2,2,2,2,2,2,2,1
35 : 2,2,2,1,3,2,2,2,2, 2,2,2,1,2,2,2,2,1
36 : 2,2,2,1,3,2,1,2,2, 1,2,1,2,1,2,2,2,2
37 : 2,1,1,2,2,2,2,2,2, 2,2,2,1,2,2,2,2,2
38 : 3,2,1,2,2,2,2,2,2, 1,1,2,2,1,2,2,1,1
39 : 2,2,1,2,2,2,1,2,2, 1,1,2,2,2,2,2,1,2
40 : 2,2,1,1,3,2,1,2,2, 2,2,2,1,3,3,2,2,2
41 : 1,2,2,2,2,2,2,2,3, 1,2,2,2,2,2,2,2,2
42 : 2,2,1,2,2,2,2,2,2, 1,2,1,2,2,2,2,2,2
43 : 2,2,1,1,2,2,2,2,2, 1,2,2,2,2,2,2,2,2
44 : 2,1,2,2,2,2,2,2,2, 2,2,2,2,2,2,2,3,2
45 : 2,2,2,1,2,2,1,2,2, 1,1,2,2,1,2,1,2,2
46 : 2,1,2,2,2,3,2,2,2, 2,3,3,2,2,2,1,2,2
47 : 2,2,1,2,2,2,2,2,2, 2,2,1,2,2,2,1,2,2
48 : 2,1,2,1,2,2,1,1,2, 1,2,2,2,1,2,2,1,1
-1 : 2,3,2,1,2,2,2,2,2, 1,2,2,2,2,2,2,3,2
