 1 : 2,2,1,2,2,2,2,2,2, 2,1,1,2,1,2,2,2,2
 2 : 2,1,2,2,2,2,2,2,2, 2,1,2,2,2,1,2,2,2
 3 : 2,2,1,2,1,1,2,1,2, 1,1,2,2,2,2,2,2,3
 4 : 3,2,1,2,2,2,2,2,2, 2,1,1,1,2,2,2,2,2
 5 : 3,2,2,2,2,1,2,2,2, 2,2,1,2,2,2,2,1,1
 6 : 2,2,1,2,2,2,2,2,2, 1,2,1,2,1,2,2,2,2
 7 : 2,2,2,2,2,1,2,2,2, 2,2,2,2,2,2,2,2,2
 8 : 1,2,2,1,2,2,2,2,2, 1,2,2,2,2,2,2,1,1
 9 : 2,2,2,3,1,2,2,2,2, 1,1,1,2,2,2,2,2,2
10 : 2,2,1,1,2,2,2,2,2, 2,2,1,2,2,2,2,1,1
11 : 2,2,2,1,2,1,2,2,2, 2,1,2,2,2,2,2,1,1
12 : 1,2,1,2,2,2,2,1,2, 2,2,1,2,1,2,2,1,2
13 : 2,2,2,1,1,2,2,1,2, 2,2,1,1,2,2,1,2,1
